Conference,Year,Title,Authors,PDF Link,File name,Code,
ASIA CCS,2016,Statistical Detection of Online Drifting Twitter Spam: Invited Paper,Shigang Liu and  Jun Zhang and  Yang Xiang,https://dl.acm.org/doi/pdf/10.1145/2897845.2897928,Shigang_Liu_2016.pdf,,
ASIA CCS,2016,ORIGEN: Automatic Extraction of Offset-Revealing Instructions for Cross-Version Memory Analysis,Qian Feng and  Aravind Prakash and  Minghua Wang and  Curtis Carmony and  Heng Yin,https://dl.acm.org/doi/pdf/10.1145/2897845.2897850,Qian_Feng_2016.pdf,,
ASIA CCS,2016,Juggling the Gadgets: Binary-level Code Randomization using Instruction Displacement,Hyungjoon Koo and  Michalis Polychronakis,https://dl.acm.org/doi/pdf/10.1145/2897845.2897863,Hyungjoon_Koo_2016.pdf,,
ASIA CCS,2016,No-Execute-After-Read: Preventing Code Disclosure in Commodity Software,Jan Werner and  George Baltas and  Rob Dallara and  Nathan Otterness and  Kevin Z. Snow and  Fabian Monrose and  Michalis Polychronakis,https://dl.acm.org/doi/pdf/10.1145/2897845.2897891,Jan_Werner_2016.pdf,,
ASIA CCS,2016,ROPMEMU: A Framework for the Analysis of Complex Code-Reuse Attacks,Mariano Graziano and  Davide Balzarotti and  Alain Zidouemba,https://dl.acm.org/doi/pdf/10.1145/2897845.2897894,Mariano_Graziano_2016.pdf,,
ASIA CCS,2016,Enabling Ciphertext Deduplication for Secure Cloud Storage and Access Control,Heyi Tang and  Yong Cui and  Chaowen Guan and  Jianping Wu and  Jian Weng and  Kui Ren,https://dl.acm.org/doi/pdf/10.1145/2897845.2897846,Heyi_Tang_2016.pdf,,
ASIA CCS,2016,Privacy-Preserving Spectral Analysis of Large Graphs in Public Clouds,Sagar Sharma and  James Powers and  Keke Chen,https://dl.acm.org/doi/pdf/10.1145/2897845.2897857,Sagar_Sharma_2016.pdf,,
ASIA CCS,2016,Efficient Multi-Function Data Sharing and Searching Mechanism for Cloud-Based Encrypted Data,Kaitai Liang and  Chunhua Su and  Jiageng Chen and  Joseph K. Liu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897865,Kaitai_Liang_2016.pdf,,
ASIA CCS,2016,FSSR: Fine-Grained EHRs Sharing via Similarity-Based Recommendation in Cloud-Assisted eHealthcare System,Cheng Huang and  Rongxing Lu and  Hui Zhu and  Jun Shao and  Xiaodong Lin,https://dl.acm.org/doi/pdf/10.1145/2897845.2897870,Cheng_Huang_2016.pdf,,
ASIA CCS,2016,Publicly Verifiable Secure Cloud Storage for Dynamic Data Using Secure Network Coding,Binanda Sengupta and  Sushmita Ruj,https://dl.acm.org/doi/pdf/10.1145/2897845.2897915,Binanda_Sengupta_2016.pdf,,
ASIA CCS,2016,Efficient Techniques for Publicly Verifiable Delegation of Computation,Kaoutar Elkhiyaoui and  MelekOnen and  Monir Azraoui and  Refik Molva,https://dl.acm.org/doi/pdf/10.1145/2897845.2897910,Elkhiyaoui_Kaoutar_2016,,
ASIA CCS,2016,R-Droid: Leveraging Android App Analysis with Static Slice Optimization,Michael Backes and  Sven Bugiel and  Erik Derr and  Sebastian Gerling and  Christian Hammer,https://dl.acm.org/doi/pdf/10.1145/2897845.2897927,Michael_Backes_2016.pdf,,
ASIA CCS,2016,Credential Wrapping: From Anonymous Password Authentication to Anonymous Biometric Authentication,Yanjiang Yang and  Haibing Lu and  Joseph K. Liu and  Jian Weng and  Youcheng Zhang and  Jianying Zhou,https://dl.acm.org/doi/pdf/10.1145/2897845.2897854,Yanjiang_Yang_2016.pdf,,
ASIA CCS,2016,UC-secure Two-Server Password-Based Authentication Protocol and Its Applications,Lin Zhang and  Zhenfeng Zhang and  Xuexian Hu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897872,Lin_Zhang_2016.pdf,,
ASIA CCS,2016,Client-CASH: Protecting Master Passwords against Offline Attacks,Jeremiah Blocki and  Anirudh Sridhar,https://dl.acm.org/doi/pdf/10.1145/2897845.2897876,Jeremiah_Blocki_2016.pdf,,
ASIA CCS,2016,Device-Enhanced Password Protocols with Optimal Online-Offline Protection,Stanislaw Jarecki and  Hugo Krawczyk and  Maliheh Shirvanian and  Nitesh Saxena,https://dl.acm.org/doi/pdf/10.1145/2897845.2897880,Stanislaw_Jarecki_2016.pdf,,
ASIA CCS,2016,Friend or Foe? Your Wearable Devices Reveal Your Personal PIN,Chen Wang and  Xiaonan Guo and  Yan Wang and  Yingying Chen and  Bo Liu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897847,Chen_Wang_2016.pdf,,
